titel	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	srt	Naam	Type	toevoeging	bezoekadres	Postcode	Plaats	postadres	post_pc	tel	fax	email	internet	directie	stadsdeel	brin	Meer info van DMO
ASVO School	asvo_school		0000-00-00 00:00:00	Frederiksplein 37	1017 XL		POINT(4.90101 52.36085)		Amsterdam	Basisschool	PO	ASVO School	Algemeen Bijzonder	(Montessori en reguliereafdeling)	Frederiksplein 37	1017 XL	Amsterdam	Frederiksplein 37	1017XL Amsterdam	626 90 05	627 51 98	info@asvo.nl	www.asvo.nl	dhr. H. Schrijer (alg.dir.)	Centrum	04IU00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/04IU00.htm
Basisschool Rosj Pina	basisschool_rosj_pina		0000-00-00 00:00:00	Nieuw Herlaer 18-20	1083 BD		POINT(4.88731 52.32654)		Amsterdam	Basisschool	PO	Basisschool Rosj Pina	Joods		Nieuw Herlaer 18-20	1083 BD	Amsterdam	Postbus 87058	1080JB Amsterdam	642 76 44	442 28 33	rosjpina@jbo.nl	www.rosjpina.nl	mw. P. Kloosterman	Zuid	04JA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/04JA00.htm
Schoolvereniging Willemspark 	schoolvereniging_willemspark		0000-00-00 00:00:00	Willem Witsenstraat 12	1077 AZ		POINT(4.86979 52.35107)		Amsterdam	Basisschool	PO	Schoolvereniging Willemspark 	Algemeen Bijzonder		Willem Witsenstraat 12	1077 AZ	Amsterdam	Willem Witsenstraat 12	1077AZ Amsterdam	671 98 06	670 23 99	info@willemsparkschool.nl	www.willemsparkschool.nl	dhr. John van der Woning	Zuid	04JS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/04JS00.htm
Protestants Christelijke Basisschool De Rivieren	protestants_christelijke_basisschool_de_rivieren		0000-00-00 00:00:00	Lekstraat 35	1079 EM		POINT(4.9042 52.34412)		Amsterdam	Basisschool	PO	Protestants Christelijke Basisschool De Rivieren	Protestants Christelijk	Dalton	Lekstraat 35	1079 EM	Amsterdam	Lekstraat 35	1079EM Amsterdam	664 12 67	675 90 12	info@derivieren.nl	www.derivieren.nl	dhr. G. Bart (dir.) en E. Walter (adj.dir.)	Zuid	04LA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/04LA00.htm
Barbaraschool	barbaraschool		0000-00-00 00:00:00	Eikenplein 3	1092 CC		POINT(4.92191 52.35819)		Amsterdam	Basisschool	PO	Barbaraschool	Rooms Katholiek		Eikenplein 3	1092 CC	Amsterdam	Eikenplein 3	1092CC Amsterdam	665 07 90		directie@barbaraschool.nl	www.barbaraschool.nl	mw. C.C. van Oostveen	Oost	04ST00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/04ST00.htm
Basisschool Het Wespennest	basisschool_het_wespennest		0000-00-00 00:00:00	Breedveld 6	1025 PZ		POINT(4.93491 52.39593)		Amsterdam	Basisschool	PO	Basisschool Het Wespennest	Rooms Katholiek	Jenaplan	Breedveld 6	1025 PZ	Amsterdam	Breedveld 6	1025PZ Amsterdam	637 05 55	637 01 41	wespennest.info@askoscholen.nl	www.hetwespennest.nl	mw. M.E.J. Blijleven	Noord	05FR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05FR00.htm
Katholieke Basisschool Het Koggeschip	katholieke_basisschool_het_koggeschip		0000-00-00 00:00:00	Abraham Kuyperplein 2	1067 DE		POINT(4.80258 52.38284)		Amsterdam	Basisschool	PO	Katholieke Basisschool Het Koggeschip	Rooms Katholiek		Abraham Kuyperplein 2	1067 DE	Amsterdam	Abraham Kuyperplein 2	1067DE Amsterdam	506 19 80		administratie@tkoggeschip.nl	www.tkoggeschip.nl	dhr. P. van der Spek	Nieuw-West	05FS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05FS00.htm
Sint Paulusschool 	sint_paulusschool		0000-00-00 00:00:00	Koos Vorrinkweg 5	1069 JR		POINT(4.80006 52.35317)		Amsterdam	Basisschool	PO	Sint Paulusschool 	Rooms Katholiek		Koos Vorrinkweg 5	1069 JR	Amsterdam	Koos Vorrinkweg 5	1069JR Amsterdam	410 04 94	410 01 88	stpaulus.directie@askoscholen.nl	www.stpaulusschool.nl	dhr. Bas vd Geest	Nieuw-West	05FT00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05FT00.htm
G.B.S. Veerkracht	g_b_s_veerkracht		0000-00-00 00:00:00	Slotermeerlaan 160	1063 JW		POINT(4.82198 52.38368)		Amsterdam	Basisschool	PO	G.B.S. Veerkracht	Gereformeerd Vrijgemaakt	Bijbelgetrouw onderwijs in Amsterdam	Slotermeerlaan 160	1063 JW	Amsterdam	Slotermeerlaan 160	1063JW Amsterdam	613 66 66		gbsveerkracht@gpown.nl	www.gbsveerkracht.nl	dhr. C. van den Boogaart	Nieuw-West	05LX00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05LX00.htm
Cornelis Vrijschool Amsterdam	cornelis_vrijschool_amsterdam		0000-00-00 00:00:00	Van de Veldestraat 3	1071 CW		POINT(4.87988 52.35954)		Amsterdam	Basisschool	PO	Cornelis Vrijschool Amsterdam	Algemeen Bijzonder		Van de Veldestraat 3	1071 CW	Amsterdam	Van de Veldestraat 3	1071CW Amsterdam	662 37 54		info@cornelisvrij.nl	www.cornelisvrijschool.nl	dhr. A.G.J. Buur	Zuid	05VP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05VP00.htm
